name	category	mapping_kind	kg_ids_groundtruth
leukemia	Disease	synonym	['MONDO:0005059']
leukemea	Disease	typo	['MONDO:0005059']
heart attack	Disease	synonym	['MONDO:0005068']
MI	Disease	abbreviation	['MONDO:0005068']
Adams Oliver syndrome	Disease	synonym	['MONDO:0007034']
Adams Oliver	Disease	keyword	['MONDO:0007034']
Fanconi anemia	Disease	synonym	['MONDO:0019391']
Type 2 diabetes	Disease	synonym	['MONDO:0005148']
Diabetes mellitus	Disease	synonym	['MONDO:0005015']
Castlemans	Disease	keyword	['MONDO:0015564']
Alzheimer's	Disease	keyword	['MONDO:0004975']
Parkinsons	Disease	keyword	['MONDO:0005180']
Parkinsonism	Disease	synonym	['MONDO:0021095']
Cancer, uterine	Disease	synonym	['MONDO:0002715']
diabetes	Disease	keyword	['MONDO:0005015']
Crohn's disease	Disease	synonym	['MONDO:0005011']
breast cancer	Disease	synonym	['MONDO:0007254']
fibroadenoma	Disease	synonym	['MONDO:0002056']
halo nevi	Disease	synonym	['MONDO:0006778']
hemochromatosis	Disease	synonym	['MONDO:0006507']
